signal,n_trades,mean_return,excess_return_vs_matched_random,p_value_vs_matched_random,ict.sweep_penetration_atr,ict.sweep_confirm_bars,ict.gap_min_atr
ict_nwog_gap_down,9300,-0.007556558236292663,-0.0005812856817639066,0.6122767568079067,0.1,1,0.05
ict_nwog_gap_up,10453,0.0072416955508049306,0.00026214451818659754,0.4444878517208439,0.1,1,0.05
ict_sweep_buyside_bearish,4974,-0.006403545499080976,0.00040823877827211863,0.41629417897724996,0.1,1,0.05
ict_sweep_sellside_bullish,3694,0.00933871188781155,0.002432762187139108,0.1296434486176095,0.1,1,0.05
ict_nwog_gap_down,7771,-0.0074609541369354895,-0.0005185703297956677,0.5903650363366838,0.1,1,0.1
ict_nwog_gap_up,8734,0.006989213289592376,3.806788000517217e-05,0.4924114654600511,0.1,1,0.1
ict_sweep_buyside_bearish,4974,-0.006403545499080976,0.00040823877827211863,0.41629417897724996,0.1,1,0.1
ict_sweep_sellside_bullish,3694,0.00933871188781155,0.002432762187139108,0.1296434486176095,0.1,1,0.1
ict_nwog_gap_down,4184,-0.007227002353645741,-0.0003213373757621355,0.5395814932772449,0.1,1,0.25
ict_nwog_gap_up,4675,0.0067431591525959666,-0.00015946896271403985,0.5254613687881686,0.1,1,0.25
ict_sweep_buyside_bearish,4974,-0.006403545499080976,0.00040823877827211863,0.41629417897724996,0.1,1,0.25
ict_sweep_sellside_bullish,3694,0.00933871188781155,0.002432762187139108,0.1296434486176095,0.1,1,0.25
ict_nwog_gap_down,9300,-0.007556558236292663,-0.0005812856817639066,0.6122767568079067,0.1,3,0.05
ict_nwog_gap_up,10453,0.0072416955508049306,0.00026214451818659754,0.4444878517208439,0.1,3,0.05
ict_sweep_buyside_bearish,5083,-0.006618520508454297,0.00018950045093203086,0.46055389193532487,0.1,3,0.05
ict_sweep_sellside_bullish,3779,0.009292978826545086,0.0023834313826824735,0.13278778849518375,0.1,3,0.05
ict_nwog_gap_down,7771,-0.0074609541369354895,-0.0005185703297956677,0.5903650363366838,0.1,3,0.1
ict_nwog_gap_up,8734,0.006989213289592376,3.806788000517217e-05,0.4924114654600511,0.1,3,0.1
